,Inode (file unique ID),KB Allocated,File Size,Creation Time in days from today,Change Time in days from today,Modification time in days from today,Acces time in days from today,GID numeric ID for the group owner of the file,UID numeric ID for the owner of the file
846,100664479,0,66,1447,1447,2525,1447,2069,1000000092
847,100664481,64,50414,1447,1093,2143,1050,2022,500120
848,100664482,25024,25573268,1447,1447,2525,1447,2069,1000000092
849,100664487,0,539,1447,1447,2194,1447,2170,753559
850,100664489,64,8517,1447,1447,2194,1447,2170,753559
851,100664493,0,1,1447,1447,2194,1447,2170,753559
852,100664494,0,249,1447,1447,1937,1447,2010,614955
853,100664495,0,277,1447,1447,3142,1447,2035,762231
854,100664497,128,300368,1447,1447,1540,1447,2003,785573
855,100664498,0,5,1447,1447,2194,1447,2170,753559
856,100664499,0,579,1447,1447,1937,1447,2010,614955
857,100664501,64,17908,1447,1447,3142,1447,2035,762231
858,100664503,0,3437,1447,1447,1937,1447,2010,614955
859,100664504,0,47,1447,1447,2219,1447,2170,753559
860,100664506,64,30886,1447,1447,2961,1447,2392,831677
861,100664507,0,892,1447,1447,1937,1447,2010,614955
862,100664509,0,889,1447,1447,1937,1447,2010,614955
863,100664510,0,8,1447,1093,2143,1050,2022,500120
864,100664511,64,7032,1447,1447,1819,1447,2019,638741
865,100664512,64,61358,1447,1447,1716,1447,2003,697349
866,100664515,0,3698,1447,1447,1937,1447,2010,614955
867,100664517,64,7175,1447,1093,2143,1050,2022,500120
868,100664518,0,948,1447,1447,2194,1447,2170,753559
869,100664520,448,1233536,1447,1447,1514,1447,2003,785573
870,100664521,0,1823,1447,1447,1937,1447,2010,614955
871,100664523,0,232,1447,1447,2194,1447,2170,753559
872,100664525,0,1536,1447,1447,1937,1447,2010,614955
873,100664528,0,2851,1447,1447,1937,1447,2010,614955
874,100664530,64,4289,1447,1447,2194,1447,2170,753559
875,100664531,64,10277,1447,1447,1632,1447,2023,881083
876,100664533,64,4450,1447,1447,1937,1447,2010,614955
877,100664534,0,0,1447,1447,1717,1510,2003,697349
878,100664536,448,561281,1447,1447,1716,1447,2003,697349
879,100664539,128,80607,1447,1447,2961,1447,2392,831677
880,100664542,64,17470,1447,1447,1819,1447,2019,638741
881,100664544,64,70170,1447,1447,3142,1447,2035,762231
882,100664546,64,30681,1447,1447,2961,1447,2392,831677
883,100664548,0,925,1447,1447,3142,1447,2035,762231
884,100664550,0,981,1447,1447,1632,1447,2023,881083
885,100664552,0,288,1447,1447,3142,1447,2035,762231
886,100664553,0,2964,1447,1093,2143,1050,2022,500120
887,100664555,0,1218,1447,1093,2143,1050,2022,500120
888,100664556,64,14258,1447,1447,1632,1447,2023,881083
889,100664557,0,992,1447,1447,3142,1447,2035,762231
890,100664559,64,7557,1447,1447,1819,1447,2019,638741
891,100664560,64,3947,1447,1447,2220,1447,2170,753559
892,100664561,128,112968,1447,1447,1540,1447,2003,785573
893,100664562,0,0,1447,1093,2143,1506,2022,500120
894,100664563,384,701629,1447,1447,1717,1447,2003,697349
895,100664564,0,338,1447,1447,3142,1447,2035,762231
896,100664566,64,15562,1447,1093,2143,1050,2022,500120
897,100664567,0,1467,1447,1447,3142,1447,2035,762231
898,100664569,0,381,1447,1447,1937,1447,2010,614955
899,100664570,64,33171,1447,1447,3142,1447,2035,762231
900,100664573,0,1199,1447,1447,1937,1447,2010,614955
901,100664577,0,1357,1447,1447,1937,1447,2010,614955
902,100664578,64,9890,1447,1447,1819,1447,2019,638741
903,100664580,0,44,1447,1447,2322,1447,2392,831677
904,100664582,128,125749,1447,1447,3142,1447,2035,762231
905,100664583,0,59,1447,1447,2322,1447,2392,831677
906,100664585,64,5309,1447,1447,1632,1447,2023,881083
907,100664586,64,18991,1447,1447,1937,1447,2010,614955
908,100664587,0,10,1447,1447,2322,1447,2392,831677
909,100664588,64,5854,1447,1447,1716,1447,2003,697349
910,100664589,64,10240,1447,1447,2194,1447,2170,753559
911,100664590,256,527600,1447,1447,1540,1447,2003,785573
912,100664593,0,2275,1447,1447,1937,1447,2010,614955
913,100664595,0,658,1447,1447,2322,1447,2392,831677
914,100664597,0,8,1447,1093,2143,1050,2022,500120
915,100664599,0,215,1447,1447,2194,1447,2170,753559
916,100664600,64,30067,1447,1447,2961,1447,2392,831677
917,100664602,0,756,1447,1447,1937,1447,2010,614955
918,100664603,0,692,1447,1093,2143,1050,2022,500120
919,100664605,64,4050,1447,1447,2194,1447,2170,753559
920,100664606,64,9135,1447,1447,1632,1447,2023,881083
921,100664607,64,9263,1447,1447,1819,1447,2019,638741
922,100664608,0,499,1447,1447,1937,1447,2010,614955
923,100664610,0,8,1447,1093,2143,1050,2022,500120
924,100664611,384,701629,1447,1447,1717,1447,2003,697349
925,100664613,64,4680,1447,1447,1937,1447,2010,614955
926,100664615,0,222,1447,1093,2143,1050,2022,500120
927,100664616,0,1945,1447,1447,3142,1447,2035,762231
928,100664618,64,21075,1447,1093,2143,1050,2022,500120
929,100664619,0,744,1447,1447,3142,1447,2035,762231
930,100664621,128,181264,1447,1447,1540,1447,2003,785573
931,100664623,0,349,1447,1447,3142,1447,2035,762231
932,100664626,128,75652,1447,1447,2961,1447,2392,831677
933,100664627,0,744,1447,1447,3142,1447,2035,762231
934,100664630,64,9396,1447,1447,1819,1447,2019,638741
935,100664631,0,602,1447,1447,3142,1447,2035,762231
936,100664633,0,440,1447,1447,3131,1447,2035,762231
937,100664638,64,11746,1447,1447,1937,1447,2010,614955
938,100664639,0,2247,1447,1447,3142,1447,2035,762231
939,100664643,0,380,1447,1447,3142,1447,2035,762231
940,100664645,64,3783,1447,1447,1937,1447,2010,614955
941,100664647,274112,280675397,1447,1447,1716,1447,2003,697349
942,100664649,0,99,1447,1447,3131,1447,2035,762231
943,100664652,64,5526,1447,1447,2258,1447,2170,753559
944,100664653,64,13763,1447,1447,1819,1447,2019,638741
945,100664655,64,11630,1447,1093,2143,1050,2022,500120
946,100664657,0,164,1447,1447,3142,1447,2035,762231
947,100664661,0,910,1447,1447,1632,1447,2023,881083
948,100664663,0,511,1447,1447,3131,1447,2035,762231
949,100664664,192,293888,1447,1447,1540,1447,2003,785573
950,100664667,64,12960,1447,1447,1632,1447,2023,881083
951,100664668,0,0,1447,1447,3131,1487,2035,762231
952,100664670,64,208884,1447,1447,2525,1447,2069,1000000092
953,100664672,0,1104,1447,1447,3142,1447,2035,762231
954,100664675,64,30303,1447,1447,2961,1447,2392,831677
955,100664676,0,324,1447,1447,3142,1447,2035,762231
956,100664679,0,20,1447,1447,3131,1447,2035,762231
957,100664680,0,1124,1447,1093,2143,1050,2022,500120
958,100664685,0,33,1447,1447,3131,1447,2035,762231
959,100664687,64,17291,1447,1093,2143,1050,2022,500120
960,100664689,0,0,1447,1447,3131,1487,2035,762231
961,100664690,0,1157,1447,1447,1937,1447,2010,614955
962,100664691,0,3501,1447,1447,2233,1447,2170,753559
963,100664693,0,18,1447,1447,3142,1447,2035,762231
964,100664696,64,6849,1447,1447,2233,1447,2170,753559
965,100664702,0,3099,1447,1447,3142,1447,2035,762231
966,100664704,64,26475,1447,1093,2143,1050,2022,500120
967,100664705,0,132,1447,1447,2525,1447,2069,1000000092
968,100664707,64,8630,1447,1447,1819,1447,2019,638741
969,100664710,0,2836,1447,1447,3142,1447,2035,762231
970,100664711,64,7122,1447,1447,1632,1447,2023,881083
971,100664712,0,1025,1447,1447,2527,1447,2069,1000000092
972,100664716,0,0,1447,1447,3131,1487,2035,762231
973,100664719,8448,8606860,1447,1447,2525,1447,2069,1000000092
974,100664721,0,344,1447,1447,3131,1447,2035,762231
975,100664722,128,78320,1447,1447,2961,1447,2392,831677
976,100664724,0,152,1447,1447,2233,1447,2170,753559
977,100664726,64,15943,1447,1093,2143,1050,2022,500120
978,100664727,64,6364,1447,1447,3142,1447,2035,762231
979,100664728,64,19740,1447,1447,1819,1447,2019,638741
980,100664731,0,232,1447,1447,2233,1447,2170,753559
981,100664732,0,407,1447,1447,1937,1447,2010,614955
982,100664736,0,720,1447,1447,2233,1447,2170,753559
983,100664737,64,7701,1447,1447,1632,1447,2023,881083
984,100664740,64,30256,1447,1447,2961,1447,2392,831677
985,100664747,0,38,1447,1447,2427,1447,2170,753559
986,100664751,0,47,1447,1447,2427,1447,2170,753559
987,100664753,64,12497,1447,1447,1902,1447,2010,841154
988,100664756,64,9126,1447,1447,1819,1447,2019,638741
989,100664757,0,160,1447,1447,1937,1447,2010,614955
990,100664758,0,625,1447,1447,2233,1447,2170,753559
991,100664759,0,264,1447,1447,1937,1447,2010,614955
992,100664760,0,49,1447,1447,2303,1447,2170,753559
993,100664762,0,78,1447,1447,1937,1447,2010,614955
994,100664763,0,901,1447,1447,2233,1447,2170,753559
995,100664765,128,78949,1447,1447,2961,1447,2392,831677
996,100664766,64,24666,1447,1447,1632,1447,2023,881083
997,100664767,0,530,1447,1093,2143,1050,2022,500120
998,100664768,0,99,1447,1447,1937,1447,2010,614955
999,100664769,64,12761,1447,1447,2922,1447,2170,753559
